barcode	current_name	proposed_name	decision	reason
3253922004039	מברשת אסלה סרוג לבן	מברשת אסלה סרוג-לבן	reject	trivial punctuation difference only
3263280115933	יין ברון דארינאק מוס	יין ברון מוסקט 750 מ	reject	loses estate/producer name portion, capping-fallback
3263286344269	יין ויקטור ברארד דה	יין אדום יבש	reject	massive info loss, drops producer name entirely
3263286355906	יין גי פי שאנה סובינ	שאנה סובניון בלאן	accept	completes the varietal name more fully, loses only uninformative producer initials
3263289998711	יין גי פי שאנה שיראז	ג'יי פי שאנה שיראז	reject	no genuine improvement, just respelled initials
3270190005094	סירופ מנטה 750 מ"ל -	קרפור סירופ מנטה 750	reject	low-confidence capping-fallback, truncates unit
3270190005100	סירופ גרנדין 750 מ"ל	קרפור סירופ גרנדין 7	reject	truncated, capping-fallback, current already complete
3270190117209	שוקולד מריר עם שקדים	קרפור שוקולד מריר עם	reject	loses "almonds" ingredient, truncated, capping-fallback
3270190118817	שלישיית ספוגים לקרצו	קרפור אקספרט שלישיית	reject	truncated, loses purpose descriptor, capping-fallback
3270190121909	ממרח על בסיס זרעי חר	קרפור ממרח על בסיס ז	reject	more severely truncated than current, capping-fallback
3270190127765	שוקולד מריר 74% אורג	קרפר ביו שוקולד מריר	reject	loses specific cocoa percentage (74%), brand typo, capping-fallback
3270190129639	שמן שומשום בכבישה קר	קרפור שמן שומשום בכב	reject	truncated similarly/worse, capping-fallback
3270190151654	שוקולד מריר מעולה עם	קרפור שוקולד מריר מע	reject	truncated, capping-fallback
3270190171720	מחית תפוחי עץ ובננה	קרפור מחית תפוחי עץ	reject	loses "banana" ingredient, truncated, capping-fallback
3270190172079	פקאן קלוי עם מלח 100	קרפור פקאן קלוי עם מ	reject	more severely truncated, loses weight, capping-fallback
3270190174936	שוקולד חלב עם תכולת	קרפור שוקולד חלב עם	reject	similarly truncated, capping-fallback, no gain
3270190178460	עגבניות שלמות מקולפו	קרפור- עגבניות שלמות	reject	loses "peeled" descriptor, capping-fallback
3270190192749	עגבניות שלמות מקולפו	קרפור- עגבניות שלמות	reject	loses "peeled" descriptor, capping-fallback
3270190194705	שלישיית ספוגים טבעיי	קרפור אקספרט שלישיית	reject	loses "natural" descriptor, capping-fallback
3274664178482	קיט קט שלגונים מארז	מאגדת קיט קט רביעיה	reject	conflicting product form (popsicle vs regular bar 4-pack)
3296180000047	פרין לה וייה פרם לבן	יין פרין לה וייה	reject	loses product line name (Ferme) and color (white)
3296180000160	יין פרין קוט דה רון	יין פרין קוט דו רון	reject	trivial spelling variant, no real improvement
3296180004229	פרין לה וייה פרם רו	יין פרין לה	reject	more severely truncated than current, loses brand line name
3296311117095	אלבר בישו שבלי כשר	אלבר בישו שאבלי	reject	loses kosher designation
333052	בשר מס 8 חלק קפוא	חמוציות חצאים במשקל	reject	completely wrong/mismatched product (meat vs cranberries)
3331300097238	סטרימר בייבי תרסיס אף איזוטוני 50 מל	סטרימר - תרסיס בייבי איזוטוני 50 מ"ל	reject	loses "nasal" (אף) specification
3331300097498	סטרימר בייבי תרסיס אף היפרטוני 50 מל	סטרימר - תרסיס בייבי היפרטוני 50 מ"ל	reject	loses "nasal" (אף) specification
3332418010232	לה שאבליזין כשר שבלי	יין לבן לה שאבליזיי	reject	loses kosher designation and appellation name, capping-fallback truncated
3335121614933	חרדל דיג'ון עם גרגיר	חרדל דיז'ון גרגירים	accept	completes the truncated word (seeds/גרגירים) that current cuts off mid-word
333698	מארז מתנה לחג 149.9	פפריקה מתוקה מועשנת	reject	completely different/mismatched product identity
3337871324568	וישי אקוואליה טרמל ספא קרם פנים ללילה 75	וישי - אקוואליה קרם לחות ספא לילה 75 מ"ל	reject	loses "Thermal" product line qualifier
3352685	שריר לא מעובד עטרה מספר 8	שריר צרכני עטרה מספר 8	reject	changes qualifier meaning without clear improvement or verification
3356225	סטייק מינוט נברסקה טרי ארוז	סטייק מינוט נברסקה טרי במגש	accept	more specific packaging format (tray) than generic "packaged"
3356607	צלי כתף בקר טרי ארוז	צלי כתף בקר טרי במגש	accept	more specific packaging format (tray) than generic "packaged"
3356706	פילה מדומה טרי ארוז	פילה מדומה טרי במגש	accept	more specific packaging format (tray) than generic "packaged"
3356737	סטייק דלמוניקו נברסקה טרי ארוז	סטייק דלמוניקו נברסקה טרי במגש	accept	more specific packaging format (tray) than generic "packaged"
3360741	צלעות כבש עטרה קפוא	צלעות כבש פרוס עטרה	reject	loses "frozen" status, a significant fact for meat
33617000026	פת מקמח מלא 260 גרם	פת פריכה מקמח מלא	reject	loses weight (260g)
33617340610	פת מקמח שיפון 275 גר	פת פריכה מקמח שיפון	reject	loses weight (275g)
3387390320244	דגני פיטנס פירות 375	פיטנס פירות 375 גרם	accept	completes the weight unit, brand (Fitness) already implies cereal category
33984009165	קו אנזים Q10 נוטרי ננו	סולגאר 10Q נוטרי ננו 50	reject	garbles the Q10 designation (should be Q10, not "10Q"), a naming error
33984031203	ויטמין B6 (מינון 100 מג)	סולגאר B-6 ללא שמרים 100	accept	adds brand and a valuable dietary claim (yeast-free), unit ambiguity is minor
34000250103	ריסז קרמל 39גר הרשי	ריסז קרמל 39 גרם	accept	cleaner formatting, loses only a redundant parent-brand mention (Reese's is Hershey's)
3401578653709	ביודרמה סביום גל מוס 200 מל משאבה	ביודרמה - סביום ג'ל מוסנט 200 מ"ל	reject	loses "pump" dispenser type descriptor
3405204	ריסז פאסט ברייק 51 גר הרשי	ריסז פאסט ברייק 51 גרם	accept	cleaner formatting, loses only a redundant parent-brand mention
3412290023640	אמנטל צרפתי ארוז 250 גר	אמנטל צרפתי ארוז 250 ג'	reject	no genuine improvement, just abbreviation swap
3415582300924	האגן דאז דואו שוקולד	גלידה חגנדס	reject	massive info loss, brand misspelled
3415582301921	האגן דאז דואו שוקולד	גלידה	reject	massive info loss
3415583003053	האגן- דאז פיסטוק 420	האגן דאז	reject	loses flavor (pistachio) and size
3415587400186	שלגון אגוזי מקדמיה 7	האגנדאס שלגון	reject	loses flavor (macadamia nuts), brand misspelled
3428681000978	קוניאק דופוי 700 מל	ברנדי	reject	generalizes cognac to brandy (loses specificity), drops brand+size
3451492750190	יין בורגון שאבלי קוו	יין שאבלי כשר קווה	accept	adds kosher designation, a significant purchase-relevant fact
3451790550324	ממרח חמאת אלוויר אקס	אלוויר ממרח קל	reject	loses "butter" product category word
3455720750457	יין שמפנייה בלאן דה	שמפניה בלאן דה נואר	accept	completes the truncated appellation (Blanc de Noir), "wine" word is redundant with "Champagne"
3458081002340	לה קלאף יין אדום 750	יין שאטו מרמורייר אד	reject	conflicting producer/estate name, capping-fallback low confidence
3458081003781	יין לבן דומיין 750 מ	יין לבן גרנאש דומיין	accept	adds a real varietal name (Grenache) vs a near-empty generic word ("Domaine")
3500610005503	יין לואי אשנואר קברנ	קברנה סובניון	reject	loses brand name (Louis Eschenauer)
3500610005534	יין לואי אשנואר סינס	יין רוזה יבש	reject	massive info loss (brand + varietal dropped)
3500610007194	יין לואי אשנואר סירה	יין אדום יבש	reject	massive info loss (brand + varietal dropped)
3500610007200	יין לואי אשנואר שרדו	יין לבן יבש	reject	massive info loss (brand + varietal dropped)
3500610035111	יין גי פי שאנה דלישס	שאנה דלישס רוזה	accept	completes with color (rosé), loses only uninformative producer initials
3500610044564	יין דומיין דה לה ויו	יין דומיין דה לה באו	accept	completes the estate name (de la Baume), corroborated by the brand field
3500610044588	יין דומיין דה לה ס.ב	יין דומיין דה לה באו	accept	completes/corrects estate name (de la Baume), corroborated by brand field
3500610051111	יין ברון דארנייק רוז	יין ברון דאריניאק רו	reject	both truncated similarly, no real informational gain, just respelled
3500610054556	יין דומיין דה לה פינ	יין דומיין דה לה באו	accept	brand field independently confirms "de la Baume" as the correct estate name
3500610063190	יין גי פי שאנה מרלו	שאנה מרלו רוזה	accept	adds color (rosé), loses only uninformative producer initials
3500610112720	יין סאנסו רוזה קאלוו	קאלווה סאנסו רוזה 75	accept	completes brand name fully and adds a size fragment, drops only the generic "wine" word
3500610117992	יין אנדיווידד פינו נ	אנדיווידד פינו נואר	accept	completes the varietal name fully (Pinot Noir), drops only the generic "wine" word
3500610118005	יין אנדיווידד שרדונה	אנדיווידד - שרדונה	reject	no genuine improvement, just drops "wine" and adds punctuation
3500610120114	יין פרובנס פלור דה פ	פלור דה פריירי	accept	completes the truncated cuvée name (Fleur de Prairie) meaningfully
3500610142734	יין שאטו ורדאלה בורד	שאטו כשר בורדו יין	reject	loses the specific chateau name (Verdalle), the core wine identity
3500610144806	יין ויקטורי רוזה יבש	יין רוזה ויקטוריה	reject	drops "dry" designation, changes brand spelling in a way that could be a different brand
3500610146862	יין גי פי אי שאנה אפ	שאנה ללא אלכוהול	reject	unverified, high-stakes claim change (non-alcoholic)
3500610146879	יין גי פי אי שאנה אפ	גפ צאנל רוזה	reject	garbled/unclear brand rendering, conflicting with current's fragment
3500610178535	לואי אשנואר קברנה סוביניון יין אדום יבש	יין לואי אשנואר קברנ	reject	truncates an already-complete current name, capping-fallback
3502110009234	משקה תה קר ליפטון תה	משקה קלה	reject	massive info loss, drops brand (Lipton) and category (tea)
3523230038959	בושה מפוחם של נני 12	גבינת עיזים סואניון	reject	loses specific shape (Bûche), ash-coating trait, and brand
3525490010027	יין לה גומלייה קברנה	יין לה ז'אמלה	reject	conflicting/unverified brand name, loses varietal (Cabernet)
3525490010034	יין לה גומלייה סירה	יין אדום	reject	massive info loss (brand + varietal dropped)
3525490010119	יין לה גומלייה סובינ	יין לה ג'אמל	reject	conflicting/unverified brand name, loses varietal
3525490010126	יין לה גומלייה סינסא	יין לה ז'אמלה סאנסו	reject	conflicting/unverified brand name spelling
3525490010317	יין לה גומלייה פינו	יין לבן יבש	reject	massive info loss (brand + varietal dropped)
3525490011987	יין לה גומלייה שרדונ	יין לה ג'אמלה	reject	conflicting/unverified brand name, loses varietal (Chardonnay)
3525490015497	יין לה גומלייה קריני	לה גאמל קרינאן	reject	conflicting/unverified brand name spelling
3525490016302	יין לה גומלייה מלבק	לה ז'אמלה מלבק	reject	conflicting/unverified brand name spelling
3525490021061	יין לה בל אנג'ל רוזה	אנגל רוזה שקד	reject	degrades brand name, unclear addition
3525490024970	יין לה ויט שרדונה 75	לה וילט שרדונה	reject	loses the size fragment, spelling change unverified
3525490024987	יין לה ויט פינו נואר	לה וילט פינו נואר	reject	no genuine improvement, just a spelling variant
3525490097219	יין לה בלה אנגל קברנ	בל אנגל קברנה	reject	degrades/alters the estate name (La Bella Ange -> Bel Ange), unverified
3525490097233	יין לה בלה אנג'ל שרד	בל אנגל שרדונה	reject	degrades/alters the estate name, unverified
3525490098476	יין לה בלה אנג'ל רוז	בל אנגל רוזה	reject	degrades/alters the estate name, unverified
3525490098506	יין לה בלה אנג'ל פינ	בל אנגל פינו נואר	reject	degrades/alters the estate name, unverified
3525490098636	יין לה בלה אנגל קולו	בל אנגל קולומברד	reject	degrades/alters the estate name, unverified
3525490098667	לה בלה אנג'ל גאמ	בל אנגל גמאי	reject	degrades/alters the estate name, unverified
3525490098728	יין לה בלה אנגל גוור	יין לבן	reject	massive info loss (brand + varietal dropped)
3530705000199	יין ברוט דארזאן שרדו	יין מבעבע דארזאן ברו	reject	loses varietal (Chardonnay), capping-fallback low confidence
3535923020004	יין בורגון לואי זאדו	לואי זאדו פינו נואר	accept	adds the actual varietal (Pinot Noir), more useful than the generic region prefix it replaces
3535927200006	יין בורגון לואי זאדו	לואי ז'אדו אליגוטה ב	accept	adds a specific, real varietal name (Aligoté), more useful than the generic region prefix
3543217170168	יין שאטו דה לאסקארל	שאטו דה ל'אסקארל דה	reject	both truncated, capping-fallback, no clear improvement
3550190500752	סט 4 קעריות גיגון -6	קערית לחרוסת דורלקס	reject	multiple conflicting changes (count, brand), too risky/unverified
3550510006001	יין רוזה גיירואר 750	יין שאטו גייראור רוז	reject	loses size (750ml), capping-fallback
3554569240171	ללייה שמפניה רוזה 75	ללייה שמפניה רוזה 12	reject	conflicting size figure (75 vs 12), unverifiable, capping-fallback
3560070153572	טישו תלת שכבתי בקופס	קרפור סופט ממחטות אף	reject	loses "three-ply" and "boxed" format details, capping-fallback
3560070179169	מגני תחתון לארג' *30	קרפור סופט - מגני תח	reject	loses size and count, capping-fallback
3560070179190	מגני תחתון נורמל*60-	קרפור סופט - מגני תח	reject	loses size and count, capping-fallback
3560070227556	פתיבר חמאה בציפוי שו	קרפור ביסקוויט בשוקו	reject	loses specific biscuit type (Petit Beurre butter), capping-fallback
3560070249343	שוקולד חלב עם שבבי ק	קרפור- שוקולד חלב עם	reject	more severely truncated, capping-fallback
3560070309542	פסאטה מחית עגבניות 7	קרפור פסאטה מחית עגב	reject	loses weight, capping-fallback
3560070316991	מארז 15X9 יחידות ממח	קרפור סופט מארז 15X9	accept	retains the count format (15X9), adds brand, loses only an implied trailing word
3560070425174	פנה ריגאטה ללא גלוטן	קרפור - פנה ריגאטה ל	reject	truncates an already-complete current name, capping-fallback
3560070425235	אורז ריזוטו ארבוריו	קרפור - אורז ריזוטו	reject	loses specific rice variety (Arborio), capping-fallback
3560070465491	חרדל גרגירים 350 גרם	קרפור חרדל גרגירים 3	reject	truncates weight, capping-fallback
3560070484225	מיני ספארי ביסקוויטי	קרפור עוגיות בצורת ח	reject	loses specific product name (Mini Safari), capping-fallback
3560070510047	פנה אורגני 500 גרם -	קרפור -פנה אורגני 50	reject	truncates weight, capping-fallback
3560070582884	סטייליס עם שוקולד חל	קרפור סטייליס עם שוק	reject	similarly truncated, capping-fallback, no clear gain
3560070595525	תערובת להכנת עוגה 50	קרפור מיקס להכנת פונ	reject	loses weight, unclear/truncated type change, capping-fallback
3560070628377	סיינס פרופשיונל שמפו	קרפור סיינס פרופשיונ	reject	loses "shampoo" product-type word, capping-fallback
3560070669981	שוקולד מריר מעולה 80	קרפור שוקולד מריר מע	reject	loses percentage figure, capping-fallback
3560070720859	שוקולד מריר מעולה 72	קרפור שוקולד מריר מע	reject	loses percentage figure, capping-fallback
3560070759323	ביסקווייט בשוקולד חל	קרפור ביסקוויט בשוקו	reject	similarly truncated, capping-fallback, no gain
3560070776238	שוקולד חלב עם אגוזי	קרפור שוקולד חלב עם	reject	more severely truncated, capping-fallback
3560070800230	שוקו קרלס 375 גרם -	קרפור שוקו קרלס 375	accept	retains the weight number, adds brand, loses only an inferable unit word and a stray dash
3560070800322	סנופלקס 375 גרם - קר	קרפור סנופלקס 375 גר	accept	reorganizes brand to the front and keeps the weight number, current's own fragment was already garbled
3560070800353	האני בולז 375 גרם -	קרפור האני בולז 375	accept	retains the weight number, adds brand, loses only an inferable unit word
3560070806829	תערובת להכנת פלאן 36	קרפור אבקה להכנת פלא	reject	conflicting product-form claim (mix vs powder), loses weight, capping-fallback
3560070811373	שימורי מחית עגבניות	קרפור - שימורי מחית	reject	loses the ingredient word "tomatoes", capping-fallback
3560070815531	ספריי מקבע חזק לשיער	קרפור ספריי מקבע חז	reject	truncates an already-complete descriptor, capping-fallback
3560070852116	תה ירוק נענע 50 יחיד	קרפור-תה ירוק נענע 5	reject	loses a digit in the count (50 -> 5), capping-fallback
3560070888115	חליטת טיליה 25יחידות	קרפור-חליטת טיליה 25	accept	retains the count number, adds brand, loses only the inferable "units" word
3560070888139	תה שחור בטעם פירות א	קרפור-תה שחור בטעם פ	reject	both truncated at the flavor name with conflicting fragments, capping-fallback
3560070894550	אצבעות ביסקווייט בשו	קרפור ביו אצבעות ביס	reject	trades a virtually-conveyed flavor completion for an unconfirmed organic claim, capping-fallback
3560070928347	חליטת רויבוש ווניל 2	קרפור-חליטת רויבוש ו	reject	loses the count figure, capping-fallback
3560070947546	שמפו תפוח עדין מאד ל	קרפור סופט שמפו תפוח	reject	loses "very gentle" descriptor, capping-fallback
3560070967230	פאוצ' מחית תפוח ותות	קרפור פאוצ' מחית תפו	reject	loses "strawberry" ingredient, capping-fallback
3560070996131	ביסקוויט לתה 335 גרם	קרפור ביסקוויט תה 33	reject	truncates weight, capping-fallback
3560071005191	שוקולד לבן עם פסטוקי	קרפור -שוקולד לבן עם	reject	loses "pistachio" ingredient, capping-fallback
3560071005214	שוקולד מריר 90% מוצק	קרפור - סלקשיין- שוק	reject	loses specific cocoa percentage (90%), capping-fallback
3560071006310	שוקולד לבן מתאים לבי	קרפור - שוקולד לבן מ	reject	more severely truncated, capping-fallback
3560071015725	פיברה עם 5 פירות יבש	קרפור פיברה עם 5 פיר	reject	loses "dried" qualifier completion, capping-fallback
3560071016074	קורנפלקס 500 גרם - ק	קרפור קורנפלקס 500 ג	accept	retains weight number and product name, fixes the awkward trailing artifact from current
3560071051181	שקדים טבעיים אורגניי	קרפור שקדים טבעיים א	reject	more severely truncated, loses "organic" completion, capping-fallback
3560071080990	ממחטות אף 2 שכבות קו	קרפור סופט ממחטות אף	reject	loses "2-ply" descriptor, capping-fallback
3560071082727	פנה אורגני מכיל חיטה	קרפור -פנה אורגני מכ	reject	loses allergen info (wheat), capping-fallback
3560071085001	ג'ל ניקוי וחיטוי ל ש	קרפור אקספרט ג'ל ניק	reject	loses "disinfecting" claim and target surface, capping-fallback
3560071085988	שוקולד חלב עם אגוזי	קרפור שוקולד חלב עם	reject	more severely truncated, capping-fallback
3560071086084	פסטת ביצים 250 גרם -	קרפור פסטת ביצים 250	accept	retains the weight number, adds brand, loses only inferable unit word
3560071090821	שוקו בולז 375 גרם -	קרפור שוקו בולז 375	accept	retains the weight number, adds brand, loses only inferable unit word
3560071096786	ג'ל ניקוי לשירותים ב	קרפור אקספרט ג'ל ניק	reject	loses the target surface (toilets) and further completion, capping-fallback
3560071112974	פיסטוק קלוי עם מלח 1	קרפור פיסטוק קלוי עם	reject	more severely truncated, loses "salt" and weight, capping-fallback
3560071117085	עוגיות סנדויץ' במילו	קרפור עוגיות ללא גלו	reject	conflicting/unverified claim change (sandwich-filled vs gluten-free), capping-fallback
3560071163150	תרסיס לניקוי מטבח בנ	קרפור - אסנשיאל תרסי	reject	more severely truncated, loses "kitchen" target, capping-fallback
3560071163662	מגבון לוכד צבע למכונ	קרפור מגבון לוכד צב	reject	more severely truncated, loses target appliance, capping-fallback
3560071163884	מסיר אבק מרהיטים 300	קרפור אקספרט מסיר אב	reject	more severely truncated, capping-fallback
3560071163914	תרסיס דוחה אבק מעץ 3	קרפור אקספרט תרסיס ד	reject	more severely truncated, capping-fallback
3560071177294	חטיפי אנרגיה 4 דגנים	קרפור חטיפי אנרגיה 4	reject	truncates an already-complete descriptor, capping-fallback
3560071196059	ג'ל לניקוי עם כוח הא	קרפור - אקספרט ג'ל ל	reject	more severely truncated, capping-fallback
3560071196110	ספריי לניקוי כללי עם	קרפור - אקספרט ספריי	reject	loses "general cleaning" purpose descriptor, capping-fallback
3560071199999	ספוט מקלות צמר גפן 1	קרפור ספוט מקלות צמר	reject	more severely truncated, capping-fallback
3560071227210	TECHNIC3 סכיני גילוח	קרפור מן מארז 8 מכשי	reject	loses specific brand/model (Technic3), capping-fallback
3560071231774	קשיו קלוי מומלח אורג	קרפור קשיו קלוי מומל	reject	more severely truncated, loses "organic" completion, capping-fallback
3560071236380	נוזל ניקוי רב תכליתי	קרפור אסנשיאל נוזל נ	reject	loses "multi-purpose" descriptor, capping-fallback
3560071241247	פאוור קלין נוזל לניק	קרפור אקספרט נוזל לנ	reject	loses specific brand name (Power Clean), capping-fallback
3560071243517	פוואר קלין נוזל לניק	קרפור אקספרט נוזל לנ	reject	loses specific brand name (Power Clean), capping-fallback
3560071247935	חטיפי קרח ללא חומרים	קרפור קלאסיק חטיפי ק	reject	loses "no additives" dietary claim, capping-fallback
3560071252847	אטריות דקות אורגני 5	קרפור אטריות דקות או	reject	more severely truncated, capping-fallback
3560071256203	מי פה מולטי אקשן לשמ	קרפור סופט מי פה מול	reject	more severely truncated, capping-fallback
3560071264574	תה שחור צ'אי עם תבלי	קרפור ביו תה צאי שחו	reject	loses "with spices" completion, capping-fallback low confidence
3560071267032	צדפי דגנים בטעם שוקו	קרפור צדפי דגנים בטע	reject	more severely truncated, loses flavor completion, capping-fallback
3560071267117	תה ירוק אורגני עם ג'	קרפור ביו תה ירוק או	reject	more severely truncated, loses ingredient completion, capping-fallback
3560071269494	חטיף דגנים עם שבבי ש	קרפור- חטיף דגנים עם	reject	more severely truncated, capping-fallback
3560071271862	מטהר אוויר בניחוח ונ	קרפור - אסנשיאל מטהר	reject	loses scent name completion, capping-fallback
3560071353858	קוביות אננס קפואות 4	קרפור קוביות אננס קפ	reject	more severely truncated, capping-fallback
3560071353971	אוכמניות כחולות מוקפ	קרפור אוכמניות כחולו	reject	loses "frozen" state completion, capping-fallback
3560071354695	מארז רביעיה של מגבונ	קרפור בייבי מארז רבי	reject	proposed is truncated before ever naming the product (wipes), a bigger loss than current
3560071354756	מגבונים לחים לתינוק	קרפור בייבי מגבונים	reject	loses "wet" descriptor, truncates an already-complete current name, capping-fallback
3560071356279	שישיית בירה בלונד 4.	בירה SAER BRAU 6*250	reject	unverified specific brand claim with no corroboration, capping-fallback, loses alcohol % info
3560071356309	שישיית בירה בלונד אי	שישיית Walbergem ביר	reject	unverified specific brand claim, capping-fallback
3560071356330	שישיית בירה בלונד לא	בירה SAER BRAU 6*250	reject	loses the "non-alcoholic" claim implied by current's fragment, unverified brand, capping-fallback
3560071369057	שבבי בצל 30 גרם - קר	קרפור שבבי בצל 30 גר	accept	retains the weight number, properly reorganizes brand to front, fixes awkward trailing artifact
3560071369118	תערובת עשבי תיבול פר	קרפור תערובת עשבי תי	reject	more severely truncated, loses region/variant completion, capping-fallback
3560071403362	פסי שעווה ומגבונים ל	קרפור סופט-פסי שעווה	reject	loses "and wipes" (part of a combo product), capping-fallback
3560071413750	שוקולד מריר 80% קקאו	קרפור-שוקולד מריר 80	reject	truncates an already-complete percentage descriptor, capping-fallback
3560071431945	קפסולות קפה עוצמה 10	קרפור קפסולות קפה עו	reject	more severely truncated, loses intensity number, capping-fallback
3560071432034	קפסולות קפה נטול עוצ	קרפור קפסולות קפה נט	reject	similarly truncated, capping-fallback, no clear gain
3560071432249	קפסולות קפה ברזיל עו	קרפור קפסולות קפה בר	reject	more severely truncated, capping-fallback
3560071432270	קפסולות קפה קולומביה	קרפור קפסולות קפה קו	reject	truncates an already-complete origin name, capping-fallback
3560071432454	קפסולות קפה עוצמה 11	קרפור קפסולות קפה ע	reject	loses the specific intensity number (11), capping-fallback
3560071432690	קפסולות קפה עוצמה 12	קרפור קפסולות קפה עו	reject	loses the specific intensity number (12), capping-fallback
3560071440633	ספריי להסרת כתמי טקס	קרפור אקספרט ספריי ל	reject	more severely truncated, capping-fallback
3560071451578	סירופ מוחיטו 750 מ"ל	קרפור סירופ מוחיטו 7	reject	truncates an already-complete current name, capping-fallback
3560071483234	קרם אגוזי לוז וקקאו	קרפור קרם אגוזי לוז	reject	loses "cocoa" ingredient, capping-fallback
3560071483265	דואו קרם אגוזי לוז ו	קרפור דואו קרם אגוזי	reject	loses ingredient completion, capping-fallback
3560071483296	קרם אגוזי לוז וקקאו	קרפור קרם אגוזי לוז	reject	loses "cocoa" ingredient, capping-fallback
3560071494865	מרכך כביסה מרוכז פרי	קרפור - אסנשיאל מרכ	reject	more severely truncated, capping-fallback
3560071494896	מרכך כביסה מרוכז פרי	קרפור מרכך כביסה מרו	reject	loses scent name completion, capping-fallback
3560232569654	צנצנת זכוכית ג'ארו 2	צנצנת פטנט 2 ליטר זכ	accept	completes the size (2 liter) and clarifies jar closure type (patent/clamp), a real product category
3560237567648	סט סכו״ם דקה 24 חלקי	סט סכום נירוסטה 24 י	reject	unverified material claim replacing a design descriptor, capping-fallback
3574660039559	מגן תחתון קרפרי	תחבושות	reject	conflicting/unclear product-type change, massive info loss
3574660058857	ג'ונסון בייבי שמן 50	שמן לתינוק	reject	loses brand (Johnson's) and size, massive info loss
3574660066203	ניוטרוג'ינה קרם ידיי	ניוטרוג'ינה 75 מבושם	reject	loses the actual product type (hand cream), a critical identity loss
3574660239829	נוטרוגינה קרם ידיים	נוטרגינה ס.נורבג	reject	loses actual product type (hand cream), brand misspelled, unclear replacement
3574660322576	מגן תחתון קרפרי רגיל	תחתוניות	reject	massive info loss, ambiguous/conflicting category
3574660333466	טמפונים או בה סופר	אובה פרוקומפורט	reject	conflicting product line claim (Super vs ProComfort)
3574660415506	ליסטרין טוטאל קר 500	ליסטרין טוטאל קאר	reject	loses size (500ml)
3574660530278	ליסטרין שטיפת פה קול מינט 95 מל	ליסטרין - מי פה קול מינט 95 מ"ל	reject	no genuine improvement, synonym/formatting swap only
3574660587524	ג'ונסונס בייבי שמן ל	בייבי שמן לפני השינה	reject	loses a well-known, relevant brand name (Johnson's) despite completing the use-case
3574661098937	ניוטרוג'ינה תחליב גו	נג-סנ-תחליב יבש	reject	cryptic/unclear abbreviated brand replacing a clear (if truncated) brand name
3574661485218	או בה קו.נורמל 32 יח	אובה פרוקומפורט	reject	conflicting product line claim, loses count
3574661487335	מגן תחתון קרפרי מקסי לונג ריחני 40 יח	מגן תחתון ארוך ריחני	reject	massive info loss (brand, size, count all dropped)
3574661520469	שמפו לתינוק גונסון 500 מל	שמפו לתנוק ג'ונסון 500מל	reject	introduces a typo (לתנוק instead of לתינוק)
3574661552583	קרפרי מגן תחתון לא מבושם 20 יחידות	קרפרי - מגן תחתון ללא בישום 20 יח'	reject	no genuine improvement, just a rephrased synonym
3574661552804	קרפרי מגן תחתון אלוו	מגן תחתון אלוורה	reject	loses brand (Caprice) despite completing the ingredient name
3574661624860	O.D	OB	accept	corrects an apparent typo/scan error ("O.D") to the actual brand name (OB)
3574661624877	O.D	OB	accept	same correction of an apparent scan error
3574661685144	OGX שמן ארגן מסכה לשיקום השיער 300 מל	אוגיאקס - מסכה לשיער שמן ארגן 300 מ"ל	reject	loses the "repair" (לשיקום) functional claim
3574661823607	וניה תחבושות לאחר לי	תחבושות אחרי לידה	reject	loses brand name (Vania)
3574669907675	ג'ונסון בייבי אל סב	אל סבון לתינוק	reject	loses brand (Johnson's)
3574669907828	ג'ונסון בייבי שמפו	שמפו לתינוק	reject	loses brand (Johnson's)
3574669907880	ג'ונסון בייבי שמפו	שמפו לתינוק	reject	loses brand (Johnson's)
3574669909099	שמן לתינוק גונסונס ב	שמנן תינוקות	reject	loses brand (Johnson's), introduces odd wording
3586080019615	יין דומיין פטיט קלוש	דומיין פמילי דניס אנ	reject	conflicting producer/vineyard name, capping-fallback low confidence
3592860018822	איולי בורניבוס 220 ג	ממרח איולי ברניבוס	reject	loses weight (220g)
3598915	פילה אמנון קפוא גדלים שונים (בלדי).	פילה אמנון קפוא גדלים שונים(בלדי ).	reject	purely cosmetic, no real improvement
3600522251750	L'OREAL קרם עיניים רויטליפט לייזר 15 מ"ל	לוריאל - רויטליפט לייזר קרם עיניים 15 מ"ל	reject	no genuine informational improvement, just re-transliteration
3600523652242	שמפו מטפח קולור פרוט	שמפו קולור פרוטקט	accept	completes the product line name (Color Protect) fully, loses only a generic marketing word
3600524153830	לוריאל אלביב שמפו קו	שמפו מטהר אלביב	reject	loses parent brand (L'Oreal), unverified completion of the truncated word
3600524163099	שמפו אלביב Dream lon	שמפו Dream Long משקם	reject	loses sub-brand name (Elvive)
3600531652425	אסי הארד טו רזיסט יח	אססי - הארד טו רזיסט	accept	fixes brand spelling (Essie), drops only a meaningless trailing fragment
3600531686277	ג'ל גבות סופר גלואו מייבלין	מייבלין - סופר לוק ג'ל גבות	reject	conflicting product line name (Super Glow vs Super Look)
3600540308917	קולור נטורלס 6.34	גרנייה חום שוקולד	accept	adds brand (Garnier) and a descriptive color name instead of an opaque numeric shade code
3600542050579	גרנייה מי פנים בוטניקל 200 מל	מי פנים ורדים	reject	massive info loss (brand, line, size all dropped), unverified ingredient claim
